A,B,C,D,E,F
27,205.05,17,222.11,72.1012,11.4197
31,229.55,21,266.38,-22.0493,-13.7779
8,91.17,7,112.48,43.8406,43.8406
23,181.29,38,453.16,-23.4196,-26.0101
0,43.34,14,189.51,-3.82522,-1.16949
20,163.32,32,387.46,-84.9558,-32.6115
23,180.98,4,79.41,-7.60169,-24.8639
31,228.99,10,145.27,29.4032,14.9817
21,169.45,37,442.48,-39.2141,-60.3843
35,253.45,19,244.38,24.2669,79.3733
6,79.12,23,288.35,-19.0771,-30.5297
4,67.36,34,408.97,62.7603,5.49081
38,271.04,23,288.38,-38.4902,-33.459
5,73.07,17,222.39,-22.5734,-62.0197
24,187.38,33,398.13,-5.84622,-1.34971
24,187.17,35,420.56,19.5703,68.2496
32,235.12,18,233.55,67.1628,10.6375
39,277.15,33,398.51,47.1195,35.5071
2,55.14,25,310.16,18.8959,1.98604
24,187.33,32,387.27,-52.2805,-20.0686
18,150.97,19,244.43,43.0265,66.2549
25,193.29,29,354.53,69.54,43.4534
10,103.1,36,431.12,-20.3168,-26.0043
29,217.47,24,299.31,19.6052,7.52572
25,193.03,32,387.06,-52.6575,-49.1039
8,91.55,8,123.04,-7.01395,-14.3807
1,49.47,23,288.47,72.8193,27.9527
28,211.37,19,244.21,-19.7267,-40.4457
11,109.41,29,354.13,-5.16219,-7.37236
12,115.05,8,123.33,58.9779,78.2662
24,187.43,27,332.41,76.3975,37.2615
3,61.03,13,178.04,-3.80423,-1.23607
25,193.21,3,68.33,-28.2843,-28.2843
35,253.49,15,200.13,11.6949,38.2522
7,85.01,6,101.44,0,0
36,259.13,2,57.52,-35.671,-32.1182
6,79.32,5,90.09,-25.8062,-3.1686
35,253.16,18,233.56,-12.1281,-42.2955
1,49.2,23,288.33,-13.6808,-37.5877
26,199.36,19,244.1,-71.1334,-20.3971
29,217.11,19,244.09,3.66064,8.22191
11,109.45,6,101.06,87.4972,28.4295
23,181.56,12,167.18,12.6786,27.1892
32,235.09,24,299.44,-52.4848,-60.3767
2,55.24,15,200.5,9.70821,7.05342
4,67.1,8,123.12,-16.5448,-15.9771
6,79.26,9,134.1,-49.5134,-6.95865
38,271.3,13,178.47,20.2288,50.0679
23,181.56,35,420.36,-9.94067,-32.5144
35,252.98,15,200.47,-21.555,-14.539
3,61.48,12,167.28,37.8561,54.064
33,241.3,11,155.99,21.2494,31.5034
36,259.53,14,189.38,70.692,32.9642
24,187.3,19,244.09,3.68202,1.56292
12,115.56,19,244.24,8.86327,1.56283
18,151.5,36,431.07,8.00001,13.8564
0,43.06,0,35,76.1299,35.4999
